79,Venom Stab,venom_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 4125 - only when skill does critical - otherwise 41 - require duals; adds 3 tier-10 venom stacks, max 10; atk -15%; def -15%;",86,80kk,1kk,[precise_shot],Demon
80,Venom Stab,venom_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 4350 - only when skill does critical - otherwise 44 - require duals; adds 3 tier-10 venom stacks, max 10; atk -15%; def -15%;",88,0,5kk,[precise_shot],Demon
81,Venom Stab,venom_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 4575 - only when skill does critical - otherwise 46 - require duals; adds 3 tier-10 venom stacks, max 10; atk -15%; def -15%;",90,0,7.5kk,[precise_shot],Demon
82,Venom Stab,venom_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 4800 - only when skill does critical - otherwise 48 - require duals; adds 3 tier-10 venom stacks, max 10; atk -15%; def -15%;",92,0,10kk,[precise_shot],Demon
83,Venom Stab,venom_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 5025 - only when skill does critical - otherwise 50 - require duals; adds 3 tier-10 venom stacks, max 10; atk -15%; def -15%;",95,0,15kk,[precise_shot],Demon
84,Venom Stab,venom_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 5250 - only when skill does critical - otherwise 53 - require duals; adds 3 tier-10 venom stacks, max 10; atk -15%; def -15%;",98,0,30kk,[precise_shot],Demon
85,Venom Stab,venom_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 5500 - only when skill does critical - otherwise 55 - require duals; adds 3 tier-10 venom stacks, max 10; atk -15%; def -15%;",100,0,50kk,[precise_shot],Demon
86,Venom Stab,venom_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 5900 - only when skill does critical - otherwise 59 - require duals; adds 3 tier-10 venom stacks, max 10; atk -15%; def -15%;",102,0,75kk,[precise_shot],Demon
87,Venom Stab,venom_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 6300 - only when skill does critical - otherwise 63 - require duals; adds 3 tier-10 venom stacks, max 10; atk -15%; def -15%;",104,0,100kk,[precise_shot],Demon
88,Venom Stab,venom_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 6700 - only when skill does critical - otherwise 67 - require duals; adds 3 tier-10 venom stacks, max 10; atk -15%; def -15%;",106,0,100kk,[precise_shot],Demon
89,Venom Stab,venom_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 7100 - only when skill does critical - otherwise 71 - require duals; adds 3 tier-10 venom stacks, max 10; atk -15%; def -15%;",108,0,100kk,[precise_shot],Demon
90,Venom Stab,venom_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 7500 - only when skill does critical - otherwise 75 - require duals; adds 3 tier-10 venom stacks, max 10; atk -15%; def -15%;",110,0,100kk,[precise_shot],Demon
,,,,,,,,,,,,,,,,,,----------------------------Venom Burst (DERIVED)----------------------------
76,Venom Burst,venom_burst,physical active,duals,,40,0,enemy/single,1,10,0,"power 1380 per consumed venom stack (up to x10); with no stacks lays 3 tier-10 instead; atk -15%; def -15%;",80,6.5kk,1kk,[precise_shot],Demon
77,Venom Burst,venom_burst,physical active,duals,,40,0,enemy/single,1,10,0,"power 1470 per consumed venom stack (up to x10); with no stacks lays 3 tier-10 instead; atk -15%; def -15%;",82,11kk,1kk,[precise_shot],Demon
78,Venom Burst,venom_burst,physical active,duals,,40,0,enemy/single,1,10,0,"power 1560 per consumed venom stack (up to x10); with no stacks lays 3 tier-10 instead; atk -15%; def -15%;",84,16kk,1kk,[precise_shot],Demon
79,Venom Burst,venom_burst,physical active,duals,,40,0,enemy/single,1,10,0,"power 1650 per consumed venom stack (up to x10); with no stacks lays 3 tier-10 instead; atk -15%; def -15%;",86,80kk,1kk,[precise_shot],Demon
80,Venom Burst,venom_burst,physical active,duals,,40,0,enemy/single,1,10,0,"power 1740 per consumed venom stack (up to x10); with no stacks lays 3 tier-10 instead; atk -15%; def -15%;",88,0,5kk,[precise_shot],Demon
81,Venom Burst,venom_burst,physical active,duals,,40,0,enemy/single,1,10,0,"power 1830 per consumed venom stack (up to x10); with no stacks lays 3 tier-10 instead; atk -15%; def -15%;",90,0,7.5kk,[precise_shot],Demon
82,Venom Burst,venom_burst,physical active,duals,,40,0,enemy/single,1,10,0,"power 1920 per consumed venom stack (up to x10); with no stacks lays 3 tier-10 instead; atk -15%; def -15%;",92,0,10kk,[precise_shot],Demon
83,Venom Burst,venom_burst,physical active,duals,,40,0,enemy/single,1,10,0,"power 2010 per consumed venom stack (up to x10); with no stacks lays 3 tier-10 instead; atk -15%; def -15%;",95,0,15kk,[precise_shot],Demon
84,Venom Burst,venom_burst,physical active,duals,,40,0,enemy/single,1,10,0,"power 2100 per consumed venom stack (up to x10); with no stacks lays 3 tier-10 instead; atk -15%; def -15%;",98,0,30kk,[precise_shot],Demon
85,Venom Burst,venom_burst,physical active,duals,,40,0,enemy/single,1,10,0,"power 2200 per consumed venom stack (up to x10); with no stacks lays 3 tier-10 instead; atk -15%; def -15%;",100,0,50kk,[precise_shot],Demon
86,Venom Burst,venom_burst,physical active,duals,,40,0,enemy/single,1,10,0,"power 2360 per consumed venom stack (up to x10); with no stacks lays 3 tier-10 instead; atk -15%; def -15%;",102,0,75kk,[precise_shot],Demon
87,Venom Burst,venom_burst,physical active,duals,,40,0,enemy/single,1,10,0,"power 2520 per consumed venom stack (up to x10); with no stacks lays 3 tier-10 instead; atk -15%; def -15%;",104,0,100kk,[precise_shot],Demon
88,Venom Burst,venom_burst,physical active,duals,,40,0,enemy/single,1,10,0,"power 2680 per consumed venom stack (up to x10); with no stacks lays 3 tier-10 instead; atk -15%; def -15%;",106,0,100kk,[precise_shot],Demon
89,Venom Burst,venom_burst,physical active,duals,,40,0,enemy/single,1,10,0,"power 2840 per consumed venom stack (up to x10); with no stacks lays 3 tier-10 instead; atk -15%; def -15%;",108,0,100kk,[precise_shot],Demon
90,Venom Burst,venom_burst,physical active,duals,,40,0,enemy/single,1,10,0,"power 3000 per consumed venom stack (up to x10); with no stacks lays 3 tier-10 instead; atk -15%; def -15%;",110,0,100kk,[precise_shot],Demon
